LR,RF,ADA,GB,QDA,LDA,LinearSVM,RBFSVM,Subject,feature_size
0.6,0.7,0.4,0.8,0.8,0.7,0.5,0.3,NF101,"(96, 12)"
0.6,0.3,0.5,0.6,0.6,0.4,0.4,0.3,NF101,"(96, 12)"
0.7,0.8,0.8,0.8,0.7,0.8,0.8,0.4,NF101,"(96, 12)"
0.6,1.0,0.6,0.8,0.7,0.7,0.8,0.2,NF101,"(96, 12)"
0.6,0.5,0.5,0.6,0.4,0.4,0.7,0.1,NF101,"(96, 12)"
0.8,0.5,0.7,0.7,0.7,0.7,0.4,0.4,NF101,"(96, 12)"
0.6666666666666666,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.4444444444444444,NF101,"(96, 12)"
0.8888888888888888,0.6666666666666666,0.5555555555555556,0.7777777777777778,0.7777777777777778,0.5555555555555556,0.6666666666666666,0.3333333333333333,NF101,"(96, 12)"
0.4444444444444444,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.4444444444444444,NF101,"(96, 12)"
0.6666666666666666,0.7777777777777778,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.4444444444444444,NF101,"(96, 12)"
0.2,0.8,0.6,0.7,0.7,0.4,0.7,0.3,NF103,"(96, 12)"
0.7,0.7,0.9,0.9,0.7,0.6,0.3,0.3,NF103,"(96, 12)"
0.5,0.6,0.8,0.8,0.6,0.4,0.6,0.4,NF103,"(96, 12)"
0.7,0.8,0.6,0.7,0.6,0.7,0.6,0.2,NF103,"(96, 12)"
0.5,0.4,0.6,0.5,0.4,0.4,0.9,0.1,NF103,"(96, 12)"
0.5,0.6,0.6,0.7,0.7,0.5,0.7,0.4,NF103,"(96, 12)"
0.6666666666666666,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.5555555555555556,0.4444444444444444,NF103,"(96, 12)"
0.7777777777777778,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.3333333333333333,NF103,"(96, 12)"
0.4444444444444444,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.6666666666666666,0.4444444444444444,0.5555555555555556,0.4444444444444444,NF103,"(96, 12)"
0.4444444444444444,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.4444444444444444,NF103,"(96, 12)"
0.3,0.4,0.3,0.5,0.6,0.4,0.4,0.3,NF104,"(96, 12)"
0.3,0.3,0.5,0.5,0.4,0.3,0.4,0.3,NF104,"(96, 12)"
0.3,0.3,0.4,0.4,0.4,0.2,0.4,0.4,NF104,"(96, 12)"
0.6,0.9,0.6,0.7,0.6,0.5,0.4,0.2,NF104,"(96, 12)"
0.2,0.4,0.5,0.2,0.2,0.4,0.9,0.1,NF104,"(96, 12)"
0.7,0.6,0.7,0.6,0.5,0.5,0.4,0.4,NF104,"(96, 12)"
0.5555555555555556,0.4444444444444444,0.7777777777777778,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.4444444444444444,NF104,"(96, 12)"
0.6666666666666666,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.3333333333333333,NF104,"(96, 12)"
